dataset,count,min,max,mean,median,sd
E-MTAB-2805,counts,1,162462,197.986968494919,2,927.53742831599
E-MTAB-5061_gamma,RPKM,0.0282805239947,1038394.24782,69.9298062224165,0,4289.64708306887
GSE108097_Brain_4,counts,1,106,0.24403463919593,0,1.0730711100023
GSE51254,FPKM,1.12053100345503e-318,129468.4,23.4640193535946,0.4002755,236.159883411134
GSE52529,FPKM,2.3847708813159e-318,6760430,68.9521059511087,0,6335.13181439925
GSE52583,FPKM,1.10584243180417e-318,473901,23.0622035556688,0,773.36719068836
GSE59129,nRPKM,0.000254,42532.977,37.0619447962371,0.30324125,204.839534939858
GSE59739,RPM,0.031286,444630,92.0933890383846,0,581.684681909524
GSE60297,FPKM,2.22044604925e-16,3988.98646491,4.99597839651682,0,29.9871067166519
GSE60631_l2_S1PyrDL,counts,1,699,1.60856787000705,0,5.84214357769676
GSE60749_NPCs,ln(TPM+1),7.11e-287,15.656229844,1.56929739943507,0.589451944,1.95453991501903
GSE60768_NSCs,counts,1,160,0.48360124976558,0,1.97566082825286
GSE62270,counts,1.0019582262109,1448.09801866365,0.752336634211524,0,4.68633492855507
GSE63472_c29,counts,1,276,0.242321825981181,0,0.900867495615888
GSE63818,FPKM,9.3186200705794e-317,17727.1,37.2848976669271,0.181033,217.483854709656
GSE64960,counts,1,158891,79.407602663707,0,640.010229160516
GSE65525,counts,1,2883,1.63755310091545,0,16.2750201150127
GSE67835_astrocytes,counts,1,50792,61.4367443441254,0,337.959594101333
GSE67980,counts,1,8444710,367.512002413758,0,16364.7926895259
GSE69761,FPKM,1.4e-45,120999,42.6798026603708,0,349.660809979429
GSE70580,counts,1,90105,63.4819785873547,0,463.369030476905
GSE70844,counts,1,523,0.666324057291111,0,2.86343963003644
GSE71315,counts,0.259442931768552,55153.2940407967,42.13599990479,0,230.85026214155
GSE71485,TPM,0.01,108384.55,77.6664051353952,0,571.992335761288
GSE71585_l2_Vip-Chat,counts,0.01,180597.75,381.934065213484,1,1741.92864102755
GSE71858,counts,0.01,72746.12,307.061232278713,19.64,1092.59389446354
GSE71982,counts,0.01,143715,92.1590855525451,0,455.188294762264
GSE73121,TPM,0.01,79465.22,76.1170491959793,0.18,596.545393785897
GSE74596,counts,1,147803,305.07232036691,0,1311.78038346531
GSE74923_CD8,counts,0.01,168897.4,71.8544885053216,2.34,549.606375512933
GSE75330_OPC,counts,1,366,0.421598382826068,0,1.56383462450536
GSE76005,counts,1,486653,1339.04242583355,0,6665.51070406713
GSE77847,TPM,0.01,201251.73,94.1524674517321,0,963.457164214372
GSE81076,counts,1.001958,1597.011104,0.643321018279744,0,7.86236737345768
GSE81547_acinar,counts,1,89007,43.3442981905593,0,718.915285980373
GSE81608_beta,RPKM,5e-04,301016.1932,41.8564642662007,0,804.404555935545
GSE84133_human_ductal,counts,1,2495,0.705965743530912,0,5.59375425353104
GSE85241_beta,normalized counts,1.0019582262109,1597.01110401011,1.74995682962028,0,10.6659880193633
GSE87544_GABA15,log2(TPM+1),3.73074047875779,10.6812257888321,1.55201435754878,0,2.52599029179582
GSE99058,normalized counts,1,24064,46.2232491285626,0,243.287341918854
GSM1676569,counts,0.0149258082425785,638.883257255265,0.659786144761812,0,4.03646143144711
Oligodendrocyte_precursor_cells,counts,1,116,0.622976316719689,0,1.3802373321763
Zheng_naive_t,counts,1,98,0.537544981749153,0,2.09621818954071
