dataset,cells,genes,dropouts
E-MTAB-2805,288,10527,0.310336
E-MTAB-5061_gamma,197,8857,0.456091
GSE108097_Brain_4,88,708,0.607585
GSE51254,96,9507,0.347188
GSE52529,372,9448,0.4248
GSE52583,198,6083,0.577773
GSE59129,49,9442,0.335042
GSE59739,622,6140,0.519632
GSE60297,174,8865,0.48469
GSE60631_l2_S1PyrDL,81,7205,0.459616
GSE60749_NPCs,54,9407,0.339741
GSE60768_NSCs,41,2909,0.589399
GSE62270,672,3830,0.632365
GSE63472_c29,591,1222,0.661865
GSE63818,233,9177,0.347801
GSE64960,68,6149,0.529818
GSE65525,239,9541,0.467782
GSE67835_astrocytes,62,7053,0.515077
GSE67980,122,7504,0.549778
GSE69761,148,9352,0.424049
GSE70580,574,4043,0.594795
GSE70844,83,3560,0.62674
GSE71315,226,3821,0.601365
GSE71485,168,8211,0.493411
GSE71585_l2_Vip-Chat,46,8603,0.374399
GSE71858,45,10778,0.260285
GSE71982,158,8602,0.428985
GSE73121,118,8726,0.359522
GSE74596,203,7108,0.430448
GSE74923_CD8,106,8725,0.346991
GSE75330_OPC,310,2188,0.650817
GSE76005,65,8587,0.409458
GSE77847,96,7275,0.477907
GSE81076,1728,3823,0.652309
GSE81547_acinar,411,5163,0.559808
GSE81608_beta,472,7234,0.488107
GSE84133_human_ductal,1077,3735,0.58791
GSE85241_beta,448,7827,0.441503
GSE87544_GABA15,112,4064,0.553662
GSE99058,250,4954,0.590198
GSM1676569,96,4005,0.572914
Oligodendrocyte_precursor_cells,820,1647,0.610474
Zheng_naive_t,10479,469,0.498834
